事故时间,车龄,天气,车型,路面状况,碰撞方式,人为因素,严重程度
1,1,2,1,1,3,32,3
1,1,1,2,4,6,5,3
1,1,2,1,2,8,13,3
1,2,1,2,1,9,25,3
1,2,2,1,4,1,5,3
2,3,2,1,3,3,13,3
2,3,2,3,2,9,32,3
2,1,2,2,4,4,7,3
1,3,1,2,2,8,13,3
1,2,2,2,1,8,25,3
2,2,2,3,2,4,5,3
1,2,1,1,2,2,13,3
1,3,2,2,1,6,7,3
2,1,1,1,4,7,21,3
1,1,1,3,1,4,13,3
1,2,1,2,3,8,34,3
2,1,1,2,4,3,32,3
1,1,2,1,4,9,5,3
2,1,1,2,3,6,36,3
1,2,1,3,4,8,16,3
2,3,1,3,2,5,5,3
2,2,2,3,2,1,22,3
2,3,1,3,2,3,6,3
1,1,1,1,3,5,5,3
1,2,1,3,2,3,25,3
2,1,1,1,2,3,21,3
2,3,2,2,1,3,6,3
2,1,2,3,3,2,21,3
2,3,2,3,2,8,7,3
2,3,1,3,1,3,36,3
1,3,1,2,4,6,8,3
2,1,1,3,1,5,20,3
2,1,2,3,2,7,14,3
2,3,2,2,2,2,5,3
2,1,1,2,2,9,5,3
1,2,1,1,3,4,5,3
2,3,2,1,1,1,21,3
1,2,2,3,3,1,25,3
1,2,2,1,4,5,5,3
1,2,2,3,4,4,7,3
1,3,2,1,1,9,13,3
2,3,1,2,1,2,25,3
2,2,2,1,2,3,5,3
2,3,1,2,3,5,5,3
1,3,1,1,1,4,36,3
1,3,1,1,2,5,34,3
1,2,2,2,1,3,5,3
2,2,1,2,3,7,2,3
1,3,1,1,1,4,25,3
2,2,2,3,4,1,21,3
1,2,1,3,4,9,13,3
2,3,1,2,4,4,5,3
2,2,2,1,2,3,13,3
2,1,2,1,4,8,13,3
1,3,2,2,2,7,5,3
2,1,2,2,4,8,2,3
2,1,1,3,1,3,7,3
2,3,2,3,4,6,2,3
2,2,2,3,2,3,5,3
1,1,2,1,1,2,13,3
2,1,1,3,3,1,5,3
2,2,2,1,3,7,23,3
2,3,1,3,1,9,13,3
2,3,2,2,4,8,25,3
1,1,2,1,3,6,13,3
1,2,1,2,2,2,25,3
1,1,1,3,3,3,13,3
2,1,1,3,1,6,2,3
1,1,2,1,3,7,7,3
1,2,2,2,3,8,7,3
1,1,2,3,4,3,32,3
1,3,1,1,1,9,13,3
1,1,2,2,4,2,21,3
1,2,1,3,4,4,13,3
1,2,1,2,3,5,25,3
1,3,2,1,3,4,21,3
1,1,2,1,4,9,5,3
1,2,2,3,2,3,13,3
1,3,1,2,2,3,7,3
1,2,1,1,1,5,5,3
1,3,1,3,3,5,13,3
2,1,2,2,1,6,14,3
1,1,2,1,1,8,7,3
2,1,1,2,3,3,5,3
1,1,1,1,2,1,7,3
1,3,2,1,4,9,32,3
2,1,1,1,2,8,5,3
2,2,2,3,2,5,21,3
1,1,2,1,1,3,2,3
2,2,1,1,4,2,5,3
2,1,2,1,1,3,5,3
1,2,2,1,4,8,14,3
1,2,1,2,1,6,21,3
1,2,1,2,1,2,7,3
1,3,2,1,3,9,7,3
2,3,1,1,2,5,7,3
2,2,1,3,3,1,7,3
2,1,1,1,1,2,21,3
2,2,2,3,1,2,5,3
1,1,2,1,2,3,5,3
2,2,1,3,4,6,25,3
2,3,1,3,3,9,21,3
2,2,2,3,1,4,5,3
2,3,2,3,4,2,6,3
2,3,2,1,4,3,2,3
1,2,1,1,4,9,13,3
2,3,1,2,4,2,21,3
2,2,2,1,3,4,14,3
1,3,2,3,3,1,4,3
2,2,2,2,3,2,13,3
2,3,1,2,1,7,2,3
1,3,1,1,4,9,7,3
2,1,2,3,4,4,5,3
2,1,2,2,1,1,14,3
1,3,2,2,3,3,13,3
2,3,2,2,3,3,5,3
1,2,2,3,3,3,25,3
1,3,1,3,2,3,5,3
2,3,2,2,3,6,13,3
2,1,2,3,2,1,5,3
2,1,1,1,1,2,13,3
2,1,1,2,1,4,34,3
2,3,1,3,1,7,13,3
2,1,1,3,4,4,5,3
2,2,2,3,3,2,13,3
1,2,1,1,4,2,13,3
2,2,2,1,4,5,21,3
2,1,2,2,4,1,21,3
2,3,2,2,4,5,7,3
2,2,1,2,4,9,16,3
2,3,2,1,4,4,13,3
2,3,2,2,4,2,5,3
1,1,2,1,2,7,36,3
2,1,2,2,1,2,13,3
1,2,2,1,2,6,25,3
2,1,1,1,2,4,16,3
2,2,1,2,3,5,25,3
2,3,2,3,2,7,21,3
2,3,1,3,2,8,21,3
1,3,1,1,4,2,14,3
1,2,2,2,3,3,13,3
2,3,2,1,4,3,5,3
2,2,1,3,1,8,15,3
1,1,1,3,4,1,5,3
1,1,2,2,4,5,13,3
2,3,2,1,4,9,2,3
1,3,1,3,4,9,21,3
1,3,1,1,1,7,25,3
2,1,2,1,1,9,5,3
2,3,2,3,4,8,7,3
2,1,2,2,1,3,25,3
2,3,1,3,4,9,5,3
1,2,2,2,4,8,5,3
2,3,2,2,3,1,13,3
1,2,1,1,2,6,2,3
2,1,1,2,1,1,21,3
2,1,2,2,2,6,5,3
2,1,1,3,1,2,25,3
2,1,2,2,2,4,2,3
1,1,2,3,1,9,2,3
2,2,1,2,4,4,2,3
2,2,2,2,4,1,25,3
2,3,2,2,4,5,5,3
1,2,1,3,1,5,7,3
1,1,1,2,4,4,21,3
1,2,2,2,2,1,5,3
2,3,2,1,1,4,5,3
1,2,2,1,2,8,13,3
2,2,2,2,2,2,13,3
2,2,1,3,1,5,11,3
1,3,1,3,1,6,13,3
1,2,2,3,4,1,25,3
2,1,1,2,4,1,6,3
2,1,1,3,2,4,21,3
1,2,2,3,2,9,13,3
1,2,1,2,4,4,5,3
1,3,2,1,3,5,5,3
1,1,1,1,3,7,5,3
2,3,1,1,2,6,21,3
1,3,1,2,1,2,5,3
1,3,1,3,4,3,21,3
1,1,2,3,1,4,32,3
1,2,2,1,4,5,13,3
2,1,1,2,2,1,2,3
1,1,1,3,4,8,21,3
1,1,2,3,3,2,25,3
2,3,1,2,3,3,2,3
1,1,2,2,1,1,16,3
1,2,1,1,4,5,5,3
2,3,2,3,2,6,16,3
2,2,1,1,1,1,13,3
1,1,2,1,3,2,13,3
1,1,1,1,2,2,13,3
2,2,2,2,3,7,21,3
1,1,1,2,1,7,16,3
2,1,1,3,2,7,7,3
1,2,2,3,2,3,7,3
2,2,1,2,2,3,2,3
2,2,2,2,3,4,2,3
1,3,2,3,1,6,36,3
2,2,2,3,4,9,13,3
1,3,1,1,2,9,16,3
1,2,2,2,2,1,21,3
1,2,2,1,4,1,7,3
2,1,1,1,4,4,13,3
2,1,2,1,3,6,25,3
1,1,2,2,3,2,5,3
1,1,1,1,2,3,25,3
1,1,1,2,2,6,13,3
1,2,1,2,4,3,13,3
1,1,2,2,4,1,13,3
1,1,1,3,2,8,5,3
2,3,2,2,1,6,13,3
1,2,1,1,4,2,25,3
2,1,2,3,3,6,13,3
2,1,1,2,3,1,2,3
2,2,2,1,3,5,5,3
2,2,1,1,1,3,2,3
1,1,2,3,4,2,21,3
2,2,1,3,1,8,13,3
1,2,1,3,4,1,13,3
1,3,1,1,2,3,16,3
2,1,1,2,3,3,6,3
2,1,1,2,4,6,13,3
2,3,1,2,4,3,13,3
2,1,1,2,2,7,5,3
1,3,2,3,1,6,22,3
1,3,2,3,3,5,25,3
1,2,1,3,2,8,6,3
2,2,2,2,4,8,13,3
1,2,2,1,4,6,5,3
1,3,2,2,3,8,36,3
2,2,1,3,3,9,5,3
1,3,1,1,2,8,5,3
2,3,2,2,4,8,5,3
2,1,1,3,4,3,5,3
1,3,1,2,1,1,2,3
1,2,1,3,3,6,36,3
2,3,1,3,3,2,36,3
1,3,1,3,4,3,4,3
1,3,2,3,3,7,21,3
1,3,2,3,4,1,25,3
2,2,1,2,2,3,7,3
1,2,1,3,1,1,5,3
2,1,2,2,2,9,2,3
2,2,1,2,4,5,25,3
1,1,2,3,1,3,5,3
2,2,1,3,4,7,13,3
1,1,1,1,1,7,21,3
2,1,1,2,1,1,13,3
2,2,1,3,3,9,5,3
2,1,2,2,2,4,25,3
2,2,2,1,2,2,7,3
1,2,1,2,3,5,13,3
2,3,1,2,4,3,7,3
2,2,2,2,4,6,8,3
2,2,2,3,1,6,13,3
2,2,2,1,4,4,36,3
1,3,2,2,2,2,13,3
1,3,2,1,1,5,13,3
2,2,1,1,2,9,25,3
2,3,2,2,1,5,21,3
2,1,2,2,1,7,7,3
1,2,2,3,4,9,13,3
1,2,2,1,1,4,13,3
2,3,2,3,2,2,21,3
1,3,2,3,1,4,21,3
2,1,2,2,4,6,22,3
1,2,1,2,3,9,13,3
1,2,1,1,2,1,13,3
1,3,1,1,4,1,5,3
1,2,1,2,1,1,7,3
2,1,1,2,2,8,23,3
2,2,1,1,3,4,2,3
2,2,2,3,1,9,6,3
2,2,1,2,4,6,13,3
1,1,2,3,1,2,36,3
2,1,1,3,4,6,21,3
2,1,1,3,1,4,5,3
1,2,2,3,2,4,16,3
2,2,1,2,3,4,13,3
2,3,1,2,4,2,5,3
1,1,2,3,1,9,7,3
1,2,2,1,3,2,25,3
2,3,1,2,2,4,7,3
1,1,2,2,2,3,13,3
1,2,2,2,3,3,5,3
2,1,2,3,4,3,5,3
1,2,1,2,4,4,5,3
2,3,2,3,2,2,25,3
1,2,2,3,4,5,6,3
2,3,1,3,3,7,2,3
1,2,2,3,1,9,32,3
2,2,2,3,1,6,21,3
1,1,2,3,4,6,25,3
2,3,2,2,1,6,5,3
1,1,1,1,4,3,5,3
1,2,1,1,4,9,13,3
2,2,2,2,4,9,34,3
1,3,2,1,2,8,34,3
1,3,2,2,4,4,5,3
2,2,1,1,2,4,4,3
2,2,2,2,2,8,21,3
2,3,1,3,2,6,5,3
1,1,1,2,2,8,5,3
1,1,2,1,4,4,5,3
1,2,2,2,1,3,36,3
2,1,2,2,4,8,14,3
2,2,1,2,4,2,4,3
2,3,1,2,2,4,13,3
2,2,1,3,4,7,32,3
2,1,1,3,4,1,13,3
1,1,1,3,4,4,5,3
1,1,1,1,4,5,5,3
2,3,2,1,3,8,5,3
2,1,2,3,3,3,21,3
1,3,2,3,4,5,21,3
2,2,2,2,3,6,5,3
2,1,2,3,2,1,5,3
1,2,2,2,2,1,5,3
1,2,2,3,2,6,32,3
1,2,2,3,4,3,2,3
2,2,2,1,3,6,2,3
2,1,2,2,2,9,2,3
2,1,2,1,3,2,25,3
2,1,2,1,4,8,13,3
2,1,2,2,1,8,13,3
2,2,1,3,2,7,25,3
2,1,2,2,2,5,21,3
1,1,1,2,4,3,5,3
2,1,2,1,2,6,5,3
1,3,1,1,2,4,7,3
2,1,2,1,4,4,25,3
2,2,1,2,4,8,21,3
2,2,1,3,2,5,13,3
2,3,1,1,4,4,25,3
2,2,2,1,1,4,8,3
1,2,2,3,2,8,20,3
1,1,1,1,2,1,2,3
2,3,2,1,4,2,25,3
2,3,1,1,4,7,5,3
1,3,2,3,3,5,7,3
1,2,1,2,1,1,18,3
2,1,2,3,3,1,21,3
2,2,1,2,4,6,16,3
2,1,1,3,3,5,5,3
1,2,1,3,3,8,22,3
2,2,2,3,2,7,3,3
1,2,2,1,4,8,13,3
1,1,1,1,4,8,25,3
1,1,2,2,3,2,14,3
1,1,2,1,3,4,16,3
2,1,1,1,1,6,36,3
1,1,2,2,2,8,13,3
2,2,2,1,3,1,16,3
2,2,2,2,2,3,13,3
1,2,2,3,2,3,13,3
2,2,2,3,3,2,25,3
2,3,2,3,1,2,5,3
2,1,1,3,4,2,21,3
2,2,2,3,1,6,18,3
1,1,2,2,4,1,13,3
1,2,1,1,2,5,25,3
1,3,1,3,4,7,21,3
2,3,2,2,1,3,14,3
2,1,2,3,3,8,5,3
2,2,2,2,4,6,36,3
2,1,1,1,3,6,14,3
2,2,2,2,3,9,25,3
1,2,2,3,2,4,5,3
1,3,1,1,2,2,7,3
2,2,1,1,4,6,36,3
2,3,1,2,4,6,25,3
1,1,1,3,2,7,5,3
2,2,2,1,2,6,13,3
2,1,1,1,4,4,5,3
1,1,1,1,1,6,7,3
2,1,2,2,2,7,5,3
1,3,2,3,1,7,7,3
2,3,2,2,2,4,13,3
1,1,1,2,3,3,20,3
2,2,1,2,2,9,13,3
2,3,1,1,3,5,25,3
1,2,1,3,1,3,2,3
1,2,2,2,3,6,21,3
1,2,1,2,3,5,7,3
1,2,1,2,2,4,13,3
2,2,2,2,4,7,13,3
1,2,2,3,3,2,23,3
2,1,2,2,1,3,7,3
2,3,2,3,3,9,5,3
1,2,2,3,4,4,4,3
1,2,2,2,1,8,23,3
2,2,2,2,4,2,21,3
2,1,1,1,4,1,2,3
2,2,2,1,2,3,13,3
1,3,2,1,2,5,7,3
1,3,1,3,4,4,5,3
2,1,2,2,2,9,18,3
2,3,1,3,2,9,5,3
1,3,1,3,1,3,5,3
1,2,1,2,1,6,2,3
2,3,2,2,1,9,13,3
2,1,1,2,2,1,5,3
2,3,2,2,1,3,21,3
2,3,1,2,2,3,25,3
1,3,1,2,1,9,5,3
2,1,1,3,1,1,13,3
2,3,1,2,3,9,7,3
2,2,2,2,4,9,36,3
1,2,1,2,4,4,2,3
2,2,2,1,1,9,5,3
1,2,1,1,3,2,5,3
1,2,1,2,3,4,13,3
2,1,2,3,1,3,7,3
1,1,1,2,1,3,13,3
2,2,2,3,3,6,21,3
2,2,2,2,1,4,13,3
1,2,1,2,4,6,3,3
1,2,1,1,3,3,13,3
2,2,2,3,2,8,5,3
1,1,2,3,4,7,34,3
1,3,2,1,2,2,34,3
2,2,2,2,1,2,25,3
2,2,1,3,4,2,34,3
2,1,2,2,2,8,7,3
1,1,1,2,4,9,5,3
1,1,1,2,1,6,25,3
2,2,1,1,3,6,13,3
2,2,1,3,3,5,2,3
2,3,2,3,1,6,36,3
2,3,1,1,2,1,21,3
2,3,2,3,2,2,5,3
1,1,1,2,3,6,2,3
1,2,2,2,4,2,21,3
2,2,2,3,1,3,21,3
1,2,2,1,4,2,5,3
1,1,2,2,4,1,5,3
1,3,1,1,1,8,13,3
2,1,2,3,1,8,5,3
1,2,2,3,3,5,7,3
1,2,2,3,1,7,25,3
2,3,2,3,3,3,13,3
1,1,1,2,4,4,21,3
1,3,2,1,4,9,25,3
1,2,2,2,1,3,7,3
2,2,2,2,1,4,25,3
2,3,1,1,1,9,13,3
2,3,2,3,4,1,25,3
1,3,2,2,1,7,7,3
2,2,1,3,2,9,5,3
1,3,2,3,4,7,13,3
2,1,2,2,2,7,13,3
1,1,1,2,1,8,5,3
1,3,2,2,3,1,12,3
1,1,1,3,4,6,32,3
2,3,1,3,4,9,13,3
1,3,1,1,2,4,25,3
1,2,2,2,2,9,7,3
1,3,2,1,2,4,13,3
1,3,1,2,3,4,13,3
2,2,2,1,1,5,2,3
2,3,1,2,2,6,13,3
2,1,1,2,4,3,13,3
1,2,1,3,2,2,2,3
2,2,2,2,2,3,21,3
1,1,1,3,4,2,3,3
1,2,1,3,4,2,21,3
1,2,2,3,2,3,21,3
2,3,2,2,4,4,13,3
1,2,1,3,4,8,5,3
1,2,1,3,4,3,7,3
1,3,1,3,4,1,21,3
1,1,2,2,4,8,2,3
1,1,2,3,2,3,7,3
2,3,2,2,4,2,3,3
1,2,1,2,2,9,5,3
1,2,2,2,4,6,20,3
2,2,1,1,4,8,6,3
2,3,1,2,2,1,16,3
2,3,2,3,2,3,3,3
2,1,1,2,1,4,25,3
1,1,2,2,1,7,13,3
1,1,2,3,2,3,21,3
1,3,1,1,3,4,34,3
2,3,2,3,1,1,5,3
1,1,2,3,3,3,13,3
2,2,2,2,2,4,5,3
1,1,1,3,2,3,13,3
2,1,1,2,2,1,13,3
2,2,2,3,1,8,13,3
1,3,2,1,4,7,21,3
1,3,2,2,4,9,13,3
2,2,2,2,4,4,5,3
2,1,2,2,3,5,34,3
2,3,1,3,4,2,8,3
1,2,1,2,1,4,13,3
2,1,1,1,4,3,36,3
1,3,2,2,4,3,13,3
2,1,1,2,1,7,7,3
2,2,1,2,3,2,25,3
2,3,1,2,2,2,5,3
1,1,1,2,4,4,7,3
1,2,1,1,3,9,2,3
1,1,2,3,2,8,7,3
1,3,1,2,4,8,13,3
2,3,1,2,2,4,21,3
1,2,1,3,3,3,5,3
2,3,1,2,2,6,2,3
1,2,1,3,2,4,34,3
2,2,1,2,4,1,7,3
1,2,1,1,2,3,25,3
1,1,1,2,4,2,5,3
2,3,2,3,4,2,5,3
1,2,1,3,4,1,21,3
1,1,2,2,4,3,2,3
1,1,1,2,2,4,5,3
1,1,2,2,2,3,25,3
1,3,1,3,4,3,25,3
1,1,1,2,2,8,4,3
2,2,1,1,2,7,22,3
1,1,1,2,3,4,13,3
2,2,2,3,2,5,25,3
2,1,2,2,1,4,9,3
2,1,2,3,2,9,5,3
1,3,1,3,4,6,25,3
2,1,2,1,1,6,36,3
2,1,2,3,2,7,21,3
2,3,2,2,2,4,16,3
1,3,1,1,1,6,5,3
1,3,2,1,2,8,12,3
2,2,1,1,4,7,2,3
2,2,1,1,4,4,12,3
2,2,1,1,2,8,6,3
2,1,2,2,3,9,25,3
2,2,1,3,2,8,13,3
1,1,2,3,1,6,13,3
2,3,1,2,4,6,5,3
2,2,1,2,4,3,5,3
2,2,2,2,4,8,7,3
1,1,2,3,4,6,13,3
1,3,2,2,3,5,21,3
2,3,1,2,2,7,13,3
1,3,1,2,1,2,7,3
2,3,2,3,3,9,2,3
2,1,2,2,3,2,25,3
1,1,2,3,2,3,7,3
1,3,2,3,3,6,25,3
2,3,2,3,4,2,25,3
2,1,1,3,1,2,5,3
1,2,1,1,1,4,21,3
2,3,1,3,1,4,13,3
1,3,2,1,4,9,5,3
1,2,1,2,1,7,21,3
2,2,2,3,4,4,36,3
1,1,1,1,2,8,25,3
1,2,1,2,4,5,13,3
1,2,1,2,2,6,25,3
2,1,2,2,3,9,7,3
2,2,2,3,2,6,5,3
1,2,1,2,1,7,13,3
1,2,2,3,2,6,21,3
2,1,2,2,3,7,25,3
1,1,1,2,3,2,36,3
1,1,2,3,4,7,7,3
2,1,2,2,3,5,21,3
1,2,1,1,1,9,32,3
2,2,1,2,4,7,36,3
1,2,2,2,1,4,16,3
1,3,1,2,1,9,7,3
2,1,1,3,2,3,36,3
2,3,2,2,2,2,36,3
2,3,2,3,2,9,25,3
1,1,1,2,2,5,13,3
1,2,1,3,1,7,4,3
1,3,2,2,4,4,5,3
1,3,1,2,2,6,18,3
2,2,2,3,1,9,21,3
1,3,2,3,4,3,16,3
2,1,2,2,4,7,16,3
1,1,1,2,4,7,21,3
2,2,1,3,2,6,13,3
2,1,2,2,3,8,13,3
1,1,2,1,4,1,7,3
1,3,2,2,3,2,5,3
1,3,1,3,2,3,25,3
1,2,2,2,4,2,25,3
2,1,2,1,2,9,7,3
2,1,1,2,4,2,13,3
1,2,1,2,1,2,13,3
2,1,2,3,1,9,34,3
1,2,1,2,4,7,13,3
1,3,2,1,3,3,21,3
2,1,1,2,1,8,36,3
1,3,2,2,4,6,13,3
2,3,2,1,1,5,25,3
1,3,1,1,3,3,25,3
2,1,2,3,1,3,5,3
1,1,2,2,4,8,25,3
1,1,1,2,2,7,5,3
2,3,1,2,4,1,25,3
2,2,2,2,4,4,13,3
1,1,1,2,2,2,21,3
1,1,1,2,3,2,20,3
2,3,2,2,4,8,7,3
1,3,1,1,4,2,7,3
1,3,1,1,1,7,16,3
2,1,2,1,3,7,21,3
2,2,2,2,4,4,13,3
1,1,2,3,2,3,13,3
1,1,1,1,4,7,13,3
2,1,1,3,4,5,25,3
2,3,2,1,4,9,13,3
2,2,2,1,3,6,6,3
1,3,1,2,1,9,13,3
1,3,2,2,2,1,5,3
2,2,1,1,1,4,13,3
1,2,2,1,4,7,5,3
1,1,2,2,2,8,36,3
2,3,1,3,2,3,21,3
2,1,1,2,3,4,13,3
2,2,2,2,2,3,18,3
1,2,2,2,3,3,32,3
2,3,2,3,4,4,16,3
1,1,1,2,4,9,5,3
1,3,1,3,4,2,21,3
2,2,2,1,3,7,5,3
2,2,1,2,3,4,16,3
2,3,1,3,3,3,5,3
2,1,1,1,3,6,18,3
1,2,1,2,2,8,25,3
2,2,2,3,2,1,5,3
1,1,2,3,2,3,7,3
2,2,2,3,2,4,23,3
2,1,1,3,1,9,23,3
1,3,2,2,1,5,34,3
1,1,1,1,1,1,32,3
1,1,1,2,2,4,5,3
1,3,2,1,4,9,7,3
2,2,2,3,3,6,36,3
1,1,1,2,2,2,13,3
1,2,1,2,2,3,20,3
2,3,2,1,1,1,5,3
2,2,1,3,4,3,21,3
2,1,2,1,3,1,13,3
2,2,1,2,3,6,12,3
1,2,1,1,1,8,36,3
1,3,1,3,2,4,13,3
1,1,1,2,2,3,23,3
1,1,1,3,2,5,7,3
2,3,2,1,1,8,13,3
2,2,1,1,1,9,5,3
2,2,2,2,2,8,21,3
1,3,2,2,2,9,5,3
2,2,1,3,4,8,36,3
1,3,1,3,4,9,36,3
1,1,1,2,2,6,5,3
1,3,1,2,1,5,21,3
1,1,1,2,3,8,21,3
2,2,2,3,2,9,25,3
1,1,1,3,3,9,5,3
2,3,1,1,1,4,14,3
1,3,2,3,3,5,7,3
1,2,1,3,4,2,5,3
2,1,2,2,1,5,7,3
2,2,1,2,2,2,25,3
1,2,2,2,3,7,13,3
1,2,1,2,3,1,13,3
1,3,2,2,1,9,25,3
2,3,2,1,1,3,21,3
2,2,1,2,1,4,5,3
2,2,1,3,4,4,5,3
2,1,1,1,2,7,21,3
2,2,2,1,3,7,13,3
2,2,2,1,2,1,13,3
1,2,1,2,3,4,7,3
2,2,2,2,4,3,5,3
2,2,1,1,4,1,13,3
2,3,2,3,1,3,21,3
1,3,1,3,2,5,22,3
1,3,2,2,1,2,7,3
1,3,1,1,4,8,3,3
1,3,2,1,4,4,25,3
2,2,1,2,1,9,25,3
2,2,2,1,2,9,5,3
2,2,2,3,2,4,13,3
2,2,2,3,1,8,23,3
2,1,2,1,1,5,5,3
1,1,2,3,1,2,25,3
1,3,2,3,2,2,34,3
1,2,2,2,4,4,13,3
1,2,1,2,4,3,13,3
2,2,1,3,1,3,25,3
1,1,1,1,2,1,13,3
2,2,1,3,3,3,13,3
2,3,1,1,1,9,2,3
2,3,2,2,3,7,7,3
1,1,1,1,1,2,13,3
2,3,1,2,1,5,18,3
1,1,1,1,2,5,6,3
1,1,2,1,2,6,25,3
2,2,2,2,1,4,5,3
1,3,2,2,2,4,13,3
1,1,2,1,1,8,13,3
2,1,1,2,2,8,5,3
1,1,1,3,4,8,13,3
1,3,1,3,2,6,25,3
1,2,1,1,2,8,13,3
1,2,1,3,1,3,5,3
2,1,1,1,2,1,21,3
2,2,1,3,3,3,21,3
1,1,2,3,1,1,2,3
1,3,2,1,1,8,13,3
1,3,2,2,3,2,7,3
2,1,1,3,4,5,13,3
2,1,1,2,2,6,25,3
1,1,1,2,1,3,13,3
1,2,2,3,3,2,13,3
1,2,2,2,4,4,7,3
1,3,2,3,2,7,16,3
1,3,2,1,4,1,5,3
1,2,2,1,1,6,22,3
1,1,2,3,3,8,7,3
2,2,2,1,1,2,21,3
1,2,1,3,3,4,4,3
1,1,1,2,2,7,36,3
1,1,2,1,4,3,13,3
1,3,1,2,1,8,13,3
2,3,2,1,2,2,13,3
1,3,2,2,2,8,2,3
1,2,2,3,4,3,21,3
1,1,1,2,3,3,5,3
2,2,2,2,3,2,5,3
1,1,2,1,2,7,21,3
2,3,1,2,4,1,21,3
2,2,1,1,4,4,21,3
2,1,2,3,1,1,36,3
1,1,2,2,3,3,13,3
1,1,1,2,1,4,5,3
2,1,1,2,2,6,21,3
1,1,2,2,3,9,6,3
1,2,1,2,2,6,13,3
2,3,1,3,2,4,13,3
1,2,2,3,2,4,2,3
2,3,2,2,1,2,13,3
1,1,2,2,4,6,5,3
2,2,2,2,2,8,3,3
1,2,2,1,1,6,25,3
2,2,2,2,4,6,5,3
2,2,1,1,3,4,13,3
2,3,2,2,3,4,7,3
1,2,1,3,1,2,5,3
2,3,1,3,4,2,5,3
2,3,1,2,4,8,5,3
1,1,1,2,1,6,23,3
2,1,2,2,1,2,5,3
2,3,2,2,4,3,13,3
1,2,1,3,4,9,5,3
2,3,2,1,1,9,23,3
1,3,2,1,4,7,25,3
2,1,1,3,2,4,13,3
1,1,2,3,3,6,13,3
1,1,1,3,2,3,25,3
2,3,1,3,4,1,25,3
2,3,2,3,2,2,5,3
1,1,1,3,2,6,13,3
2,2,1,3,2,2,5,3
2,3,1,3,2,4,3,3
2,2,1,2,4,9,5,3
1,2,2,2,1,4,32,3
2,3,2,3,3,3,5,3
2,2,2,3,4,9,2,3
2,1,1,3,4,2,5,3
1,3,2,1,2,7,25,3
1,1,1,1,3,3,7,3
2,3,1,3,3,7,21,3
2,1,2,3,1,5,21,3
1,2,1,2,4,6,22,3
2,3,2,3,1,5,13,3
1,2,1,2,4,5,25,3
2,2,2,3,2,8,25,3
2,3,1,2,3,3,13,3
2,2,1,3,4,5,5,3
1,1,1,3,2,9,25,3
1,3,2,3,2,4,13,3
1,1,2,3,4,1,5,3
1,2,2,2,3,8,13,3
1,2,2,3,2,4,13,3
1,2,2,1,1,4,13,3
1,2,2,1,4,9,7,3
